image_name,image_id,bbox,object,score
./aesop/data/images/0946/panel_1.jpg,0946_1,"[261.64263916015625, 0.1586914211511612, 700.0, 307.40264892578125]",wall,0.54
./aesop/data/images/0946/panel_1.jpg,0946_1,"[212.54212951660156, 86.89713287353516, 296.2385559082031, 287.72064208984375]",girl,0.52
./aesop/data/images/0946/panel_1.jpg,0946_1,"[0.0, 59.12022399902344, 189.42721557617188, 395.3476257324219]",wall,0.52
./aesop/data/images/0946/panel_1.jpg,0946_1,"[203.91966247558594, 122.78546142578125, 328.5073547363281, 328.6810302734375]",girl,0.51
./aesop/data/images/0946/panel_2.jpg,0946_2,"[378.21160888671875, 102.33766174316406, 503.7337646484375, 270.30413818359375]",girl,0.72
./aesop/data/images/0946/panel_2.jpg,0946_2,"[300.2519836425781, 132.36997985839844, 389.13739013671875, 281.0747375488281]",girl,0.67
./aesop/data/images/0946/panel_2.jpg,0946_2,"[0.0, 1.021249532699585, 266.850341796875, 158.04031372070312]",sky,0.67
./aesop/data/images/0946/panel_2.jpg,0946_2,"[287.4872741699219, 217.5226593017578, 358.8778076171875, 280.89947509765625]",pants,0.63
./aesop/data/images/0946/panel_2.jpg,0946_2,"[266.8661193847656, 252.89598083496094, 294.7074890136719, 277.15814208984375]",glove,0.58
./aesop/data/images/0946/panel_2.jpg,0946_2,"[467.0054626464844, 255.50404357910156, 504.21112060546875, 290.984130859375]",ball,0.57
./aesop/data/images/0946/panel_2.jpg,0946_2,"[305.51788330078125, 120.74542236328125, 344.87164306640625, 145.91876220703125]",hair,0.51
./aesop/data/images/0946/panel_2.jpg,0946_2,"[474.0649108886719, 103.87950134277344, 605.494384765625, 250.09962463378906]",girl,0.45
./aesop/data/images/0946/panel_2.jpg,0946_2,"[466.9834899902344, 255.3425750732422, 504.0417175292969, 290.97332763671875]",soccer ball,0.42
./aesop/data/images/0946/panel_2.jpg,0946_2,"[380.5806884765625, 52.53988265991211, 542.5142822265625, 325.6754150390625]",girl,0.41
./aesop/data/images/0725/panel_0.jpg,0725_0,"[139.11866760253906, 260.81402587890625, 220.870849609375, 391.76641845703125]",pants,0.75
./aesop/data/images/0725/panel_0.jpg,0725_0,"[134.29598999023438, 152.7862548828125, 214.33436584472656, 331.5248107910156]",girl,0.71
./aesop/data/images/0725/panel_0.jpg,0725_0,"[538.9651489257812, 162.242431640625, 628.083740234375, 322.43634033203125]",pants,0.7
./aesop/data/images/0725/panel_0.jpg,0725_0,"[381.8951416015625, 54.704742431640625, 432.1644287109375, 105.451904296875]",head,0.69
./aesop/data/images/0725/panel_0.jpg,0725_0,"[562.6832275390625, 34.96871566772461, 612.212646484375, 88.47894287109375]",head,0.64
./aesop/data/images/0725/panel_0.jpg,0725_0,"[104.93292999267578, 53.58869552612305, 271.44970703125, 385.01947021484375]",girl,0.59
./aesop/data/images/0725/panel_0.jpg,0725_0,"[311.3023376464844, 86.5749282836914, 475.7790222167969, 399.127197265625]",girl,0.57
./aesop/data/images/0725/panel_0.jpg,0725_0,"[155.68133544921875, 90.41273498535156, 236.77171325683594, 307.8895263671875]",girl,0.57
./aesop/data/images/0725/panel_0.jpg,0725_0,"[0.0, 0.7949949502944946, 353.39581298828125, 173.0283203125]",sky,0.54
./aesop/data/images/0725/panel_0.jpg,0725_0,"[169.43605041503906, 43.1280517578125, 251.08641052246094, 221.40234375]",girl,0.51
./aesop/data/images/0725/panel_1.jpg,0725_1,"[539.0491943359375, 162.09750366210938, 628.1112670898438, 322.4710388183594]",pants,0.7
./aesop/data/images/0725/panel_1.jpg,0725_1,"[381.96356201171875, 54.73139572143555, 432.15582275390625, 105.45340728759766]",head,0.69
./aesop/data/images/0725/panel_1.jpg,0725_1,"[276.27581787109375, 153.92526245117188, 365.53179931640625, 353.3350524902344]",girl,0.64
./aesop/data/images/0725/panel_1.jpg,0725_1,"[562.6827392578125, 34.968868255615234, 612.2139282226562, 88.47731018066406]",head,0.64
./aesop/data/images/0725/panel_1.jpg,0725_1,"[0.0, 0.44096702337265015, 354.95501708984375, 169.8436737060547]",sky,0.58
./aesop/data/images/0725/panel_1.jpg,0725_1,"[170.38699340820312, 95.21639251708984, 258.8554992675781, 286.4984436035156]",woman,0.54
./aesop/data/images/0725/panel_1.jpg,0725_1,"[326.61749267578125, 37.6400146484375, 472.9932861328125, 348.8404846191406]",girl,0.5
./aesop/data/images/0725/panel_1.jpg,0725_1,"[168.8585662841797, 42.54668045043945, 251.13113403320312, 225.70095825195312]",girl,0.5
./aesop/data/images/0725/panel_1.jpg,0725_1,"[63.651031494140625, 226.53594970703125, 131.13687133789062, 300.4830017089844]",pants,0.49
./aesop/data/images/0725/panel_1.jpg,0725_1,"[506.04681396484375, 32.8678092956543, 663.5916137695312, 230.01177978515625]",girl,0.45
./aesop/data/images/0725/panel_2.jpg,0725_2,"[172.2570037841797, 146.86209106445312, 251.26695251464844, 283.1927795410156]",pants,0.7
./aesop/data/images/0725/panel_2.jpg,0725_2,"[552.1654663085938, 64.44715881347656, 598.1472778320312, 95.13548278808594]",hair,0.69
./aesop/data/images/0725/panel_2.jpg,0725_2,"[548.4368286132812, 58.297698974609375, 600.6348266601562, 115.24308776855469]",head,0.66
./aesop/data/images/0725/panel_2.jpg,0725_2,"[445.641845703125, 71.82534790039062, 527.9104614257812, 225.41261291503906]",girl,0.65
./aesop/data/images/0725/panel_2.jpg,0725_2,"[322.76397705078125, 190.18898010253906, 400.1292419433594, 339.8833312988281]",girl,0.61
./aesop/data/images/0725/panel_2.jpg,0725_2,"[63.1514778137207, 216.10525512695312, 131.13055419921875, 297.1225891113281]",pants,0.53
./aesop/data/images/0725/panel_2.jpg,0725_2,"[142.67990112304688, 96.13728332519531, 277.66571044921875, 278.3915710449219]",woman,0.53
./aesop/data/images/0725/panel_2.jpg,0725_2,"[330.1370544433594, 303.36572265625, 395.8746337890625, 379.1604919433594]",pants,0.52
./aesop/data/images/0725/panel_2.jpg,0725_2,"[288.8193664550781, 125.95170593261719, 458.7438049316406, 396.90496826171875]",girl,0.5
./aesop/data/images/0725/panel_2.jpg,0725_2,"[168.97503662109375, 42.63092803955078, 250.86842346191406, 225.27317810058594]",girl,0.49
./aesop/data/images/2665/panel_0.jpg,2665_0,"[0.0, 0.0, 480.2071228027344, 183.55517578125]",sky,0.79
./aesop/data/images/2665/panel_0.jpg,2665_0,"[153.88436889648438, 80.08522033691406, 300.7297668457031, 229.5431671142578]",kite,0.69
./aesop/data/images/2665/panel_0.jpg,2665_0,"[89.91854095458984, 139.14723205566406, 225.8017120361328, 358.9873962402344]",girl,0.65
./aesop/data/images/2665/panel_0.jpg,2665_0,"[539.3953247070312, 144.59814453125, 655.7966918945312, 280.97369384765625]",girl,0.64
./aesop/data/images/2665/panel_0.jpg,2665_0,"[109.66102600097656, 109.06147766113281, 194.17697143554688, 298.5769958496094]",girl,0.62
./aesop/data/images/2665/panel_0.jpg,2665_0,"[133.698486328125, 112.36668395996094, 183.51849365234375, 164.5572052001953]",head,0.6
./aesop/data/images/2665/panel_0.jpg,2665_0,"[574.2056884765625, 188.2550811767578, 637.0158081054688, 248.01776123046875]",shirt,0.59
./aesop/data/images/2665/panel_0.jpg,2665_0,"[584.6027221679688, 248.01698303222656, 643.8465576171875, 317.82208251953125]",pants,0.58
./aesop/data/images/2665/panel_0.jpg,2665_0,"[208.0966796875, 0.0, 700.0, 198.600341796875]",sky,0.58
./aesop/data/images/2665/panel_0.jpg,2665_0,"[226.17617797851562, 136.80455017089844, 245.36126708984375, 159.53480529785156]",hand,0.54
./aesop/data/images/2665/panel_1.jpg,2665_1,"[0.0, 3.17205810546875, 265.27850341796875, 237.3826904296875]",sky,0.78
./aesop/data/images/2665/panel_1.jpg,2665_1,"[34.61787796020508, 0.436265230178833, 557.5759887695312, 186.79776000976562]",sky,0.76
./aesop/data/images/2665/panel_1.jpg,2665_1,"[346.3328552246094, 157.256591796875, 389.8840026855469, 187.66348266601562]",hair,0.75
./aesop/data/images/2665/panel_1.jpg,2665_1,"[456.3276672363281, 161.8386688232422, 579.2042846679688, 325.07696533203125]",girl,0.63
./aesop/data/images/2665/panel_1.jpg,2665_1,"[0.9153739809989929, 113.15318298339844, 267.3940124511719, 358.14141845703125]",building,0.63
./aesop/data/images/2665/panel_1.jpg,2665_1,"[311.891357421875, 168.6493682861328, 440.7740173339844, 347.14471435546875]",girl,0.62
./aesop/data/images/2665/panel_1.jpg,2665_1,"[342.2881164550781, 150.85357666015625, 394.1567077636719, 207.64613342285156]",head,0.6
./aesop/data/images/2665/panel_1.jpg,2665_1,"[71.83503723144531, 140.0110626220703, 196.05364990234375, 286.7630615234375]",tower,0.6
./aesop/data/images/2665/panel_1.jpg,2665_1,"[486.7171936035156, 259.861572265625, 550.1150512695312, 331.1781921386719]",pants,0.57
./aesop/data/images/2665/panel_1.jpg,2665_1,"[272.3782043457031, 86.48609924316406, 435.1616516113281, 391.3024597167969]",girl,0.56
./aesop/data/images/2665/panel_2.jpg,2665_2,"[0.0, 3.1657943725585938, 265.0382995605469, 237.380859375]",sky,0.78
./aesop/data/images/2665/panel_2.jpg,2665_2,"[34.6873664855957, 0.23850169777870178, 557.5906372070312, 187.87461853027344]",sky,0.77
./aesop/data/images/2665/panel_2.jpg,2665_2,"[513.9797973632812, 259.3742980957031, 576.9109497070312, 332.7729187011719]",pants,0.7
./aesop/data/images/2665/panel_2.jpg,2665_2,"[423.0954895019531, 148.28831481933594, 475.6077880859375, 207.8888702392578]",head,0.63
./aesop/data/images/2665/panel_2.jpg,2665_2,"[388.9200439453125, 1.0884202718734741, 700.0, 220.06375122070312]",sky,0.62
./aesop/data/images/2665/panel_2.jpg,2665_2,"[71.8729019165039, 139.9378204345703, 196.0480499267578, 286.80780029296875]",tower,0.6
./aesop/data/images/2665/panel_2.jpg,2665_2,"[487.06396484375, 245.77243041992188, 517.2203979492188, 268.90704345703125]",hand,0.58
./aesop/data/images/2665/panel_2.jpg,2665_2,"[394.50054931640625, 155.01486206054688, 518.1618041992188, 336.19964599609375]",girl,0.57
./aesop/data/images/2665/panel_2.jpg,2665_2,"[477.9216613769531, 184.76031494140625, 593.6324462890625, 346.5477600097656]",girl,0.57
./aesop/data/images/2665/panel_2.jpg,2665_2,"[1.2144943475723267, 113.79662322998047, 266.2547912597656, 357.8668518066406]",building,0.57
./aesop/data/images/0808/panel_0.jpg,0808_0,"[0.0, 6.743584156036377, 455.9741516113281, 204.17918395996094]",sky,0.77
./aesop/data/images/0808/panel_0.jpg,0808_0,"[0.0, 2.2382442951202393, 243.20213317871094, 183.9557342529297]",sky,0.67
./aesop/data/images/0808/panel_0.jpg,0808_0,"[0.0, 44.046878814697266, 345.23626708984375, 299.3257751464844]",sky,0.52
./aesop/data/images/0808/panel_0.jpg,0808_0,"[311.0489501953125, 19.032028198242188, 696.9150390625, 230.12098693847656]",sky,0.52
./aesop/data/images/0808/panel_0.jpg,0808_0,"[292.89532470703125, 305.44769287109375, 533.226806640625, 393.31927490234375]",board,0.51
./aesop/data/images/0808/panel_0.jpg,0808_0,"[559.0858154296875, 27.918779373168945, 697.9994506835938, 187.5208740234375]",leaf,0.49
./aesop/data/images/0808/panel_0.jpg,0808_0,"[244.92092895507812, 221.02603149414062, 662.2367553710938, 397.9573059082031]",surfboard,0.47
./aesop/data/images/0808/panel_0.jpg,0808_0,"[475.79034423828125, 161.717041015625, 532.8169555664062, 219.01905822753906]",head,0.46
./aesop/data/images/0808/panel_0.jpg,0808_0,"[16.12122917175293, 4.977232933044434, 91.33043670654297, 97.41969299316406]",kite,0.44
./aesop/data/images/0808/panel_0.jpg,0808_0,"[0.0, 211.89610290527344, 294.527099609375, 397.84124755859375]",sky,0.42
./aesop/data/images/0808/panel_1.jpg,0808_1,"[5.422483921051025, 211.84913635253906, 84.56354522705078, 372.91632080078125]",pants,0.72
./aesop/data/images/0808/panel_1.jpg,0808_1,"[205.69622802734375, 282.1457214355469, 265.94091796875, 351.7541198730469]",dog,0.72
./aesop/data/images/0808/panel_1.jpg,0808_1,"[74.12818908691406, 117.63367462158203, 172.13282775878906, 316.1884765625]",girl,0.69
./aesop/data/images/0808/panel_1.jpg,0808_1,"[38.55192565917969, 0.018406666815280914, 531.5491333007812, 214.40054321289062]",sky,0.63
./aesop/data/images/0808/panel_1.jpg,0808_1,"[247.2812042236328, 0.0, 698.389404296875, 196.0175018310547]",sky,0.62
./aesop/data/images/0808/panel_1.jpg,0808_1,"[296.7822265625, 241.15423583984375, 694.9690551757812, 397.2357177734375]",surfboard,0.56
./aesop/data/images/0808/panel_1.jpg,0808_1,"[93.63500213623047, 94.22025299072266, 143.95132446289062, 147.56813049316406]",head,0.51
./aesop/data/images/0808/panel_1.jpg,0808_1,"[480.1123352050781, 160.63356018066406, 536.80517578125, 219.24166870117188]",head,0.43
./aesop/data/images/0808/panel_1.jpg,0808_1,"[499.2597961425781, 2.903968095779419, 696.9515991210938, 242.64712524414062]",kite,0.42
./aesop/data/images/0808/panel_1.jpg,0808_1,"[49.13550567626953, 74.85406494140625, 223.228515625, 395.1834411621094]",girl,0.42
./aesop/data/images/0808/panel_2.jpg,0808_2,"[0.0, 2.8260881900787354, 289.05169677734375, 229.49053955078125]",sky,0.69
./aesop/data/images/0808/panel_2.jpg,0808_2,"[40.74583053588867, 0.7298988103866577, 531.0106811523438, 208.45211791992188]",sky,0.66
./aesop/data/images/0808/panel_2.jpg,0808_2,"[189.04595947265625, 160.11659240722656, 233.2069549560547, 188.37747192382812]",hair,0.62
./aesop/data/images/0808/panel_2.jpg,0808_2,"[247.75979614257812, 0.0, 699.1632080078125, 195.74658203125]",sky,0.56
./aesop/data/images/0808/panel_2.jpg,0808_2,"[154.76123046875, 187.06405639648438, 301.1041259765625, 352.0185852050781]",boy,0.51
./aesop/data/images/0808/panel_2.jpg,0808_2,"[256.9840393066406, 65.04068756103516, 390.9250793457031, 195.48150634765625]",umbrella,0.51
./aesop/data/images/0808/panel_2.jpg,0808_2,"[261.7979431152344, 148.46690368652344, 315.23504638671875, 207.54904174804688]",head,0.5
./aesop/data/images/0808/panel_2.jpg,0808_2,"[559.1005859375, 27.912620544433594, 697.9893798828125, 187.5382080078125]",leaf,0.48
./aesop/data/images/0808/panel_2.jpg,0808_2,"[479.2768249511719, 159.40696716308594, 536.586669921875, 218.4002227783203]",head,0.47
./aesop/data/images/0808/panel_2.jpg,0808_2,"[250.47457885742188, 203.4824981689453, 323.625, 276.2504577636719]",shirt,0.47
./aesop/data/images/0397/panel_0.jpg,0397_0,"[427.9462890625, 0.0, 700.0, 267.6640930175781]",wall,0.64
./aesop/data/images/0397/panel_0.jpg,0397_0,"[247.88612365722656, 90.38917541503906, 297.8556213378906, 147.9503936767578]",head,0.51
./aesop/data/images/0397/panel_0.jpg,0397_0,"[23.06526756286621, 145.4481964111328, 143.2027587890625, 304.15338134765625]",door,0.48
./aesop/data/images/0397/panel_0.jpg,0397_0,"[99.63824462890625, 34.97246551513672, 224.07781982421875, 97.02814483642578]",painting,0.46
./aesop/data/images/0397/panel_0.jpg,0397_0,"[251.34963989257812, 97.25857543945312, 295.7026672363281, 128.3447723388672]",hair,0.45
./aesop/data/images/0397/panel_0.jpg,0397_0,"[522.1019897460938, 45.746700286865234, 623.6290893554688, 122.09681701660156]",painting,0.45
./aesop/data/images/0397/panel_0.jpg,0397_0,"[492.7468566894531, 30.390911102294922, 644.3851928710938, 129.82398986816406]",picture,0.44
./aesop/data/images/0397/panel_0.jpg,0397_0,"[154.04830932617188, 247.44528198242188, 191.2178497314453, 281.61151123046875]",light,0.42
./aesop/data/images/0397/panel_0.jpg,0397_0,"[234.82992553710938, 94.02739715576172, 314.2841491699219, 268.4330749511719]",girl,0.42
./aesop/data/images/0397/panel_0.jpg,0397_0,"[0.0, 251.17510986328125, 306.3393859863281, 397.3775329589844]",floor,0.39
./aesop/data/images/0397/panel_1.jpg,0397_1,"[217.78880310058594, 106.92122650146484, 261.6424865722656, 136.4573211669922]",hair,0.61
./aesop/data/images/0397/panel_1.jpg,0397_1,"[427.7655334472656, 0.0, 700.0, 267.4687805175781]",wall,0.59
./aesop/data/images/0397/panel_1.jpg,0397_1,"[41.05183029174805, 131.9818878173828, 134.1224822998047, 304.74749755859375]",door,0.58
./aesop/data/images/0397/panel_1.jpg,0397_1,"[0.0, 16.114643096923828, 239.4199981689453, 278.00640869140625]",wall,0.5
./aesop/data/images/0397/panel_1.jpg,0397_1,"[214.2034454345703, 99.99789428710938, 263.6252136230469, 155.90924072265625]",head,0.47
./aesop/data/images/0397/panel_1.jpg,0397_1,"[79.18096160888672, 135.48941040039062, 531.3026733398438, 393.3055419921875]",building,0.46
./aesop/data/images/0397/panel_1.jpg,0397_1,"[99.8446044921875, 34.740108489990234, 224.39793395996094, 96.77008819580078]",painting,0.45
./aesop/data/images/0397/panel_1.jpg,0397_1,"[522.1029663085938, 45.7442512512207, 623.621826171875, 122.0762939453125]",painting,0.45
./aesop/data/images/0397/panel_1.jpg,0397_1,"[492.73199462890625, 30.38121223449707, 644.3486328125, 129.83131408691406]",picture,0.44
./aesop/data/images/0397/panel_1.jpg,0397_1,"[95.56477355957031, 13.687582969665527, 238.43026733398438, 117.95630645751953]",picture,0.4
./aesop/data/images/0397/panel_2.jpg,0397_2,"[427.7662353515625, 0.0, 700.0, 267.4685974121094]",wall,0.59
./aesop/data/images/0397/panel_2.jpg,0397_2,"[189.31918334960938, 113.52832794189453, 238.7818145751953, 164.2843017578125]",head,0.51
./aesop/data/images/0397/panel_2.jpg,0397_2,"[99.461181640625, 34.848182678222656, 224.0537872314453, 97.491943359375]",painting,0.46
./aesop/data/images/0397/panel_2.jpg,0397_2,"[522.1030883789062, 45.74433135986328, 623.6217651367188, 122.07623291015625]",painting,0.45
./aesop/data/images/0397/panel_2.jpg,0397_2,"[492.7319641113281, 30.381183624267578, 644.3486938476562, 129.8313751220703]",picture,0.44
./aesop/data/images/0397/panel_2.jpg,0397_2,"[146.86656188964844, 136.14852905273438, 243.6791534423828, 343.93438720703125]",woman,0.43
./aesop/data/images/0397/panel_2.jpg,0397_2,"[502.8244934082031, 188.60939025878906, 574.9569702148438, 274.338623046875]",drawers,0.4
./aesop/data/images/0397/panel_2.jpg,0397_2,"[192.46444702148438, 117.56150817871094, 235.7422637939453, 144.98609924316406]",hat,0.4
./aesop/data/images/0397/panel_2.jpg,0397_2,"[95.92581939697266, 12.687655448913574, 238.28225708007812, 119.42153930664062]",picture,0.38
./aesop/data/images/0397/panel_2.jpg,0397_2,"[127.69886016845703, 114.11375427246094, 277.3526916503906, 396.5116882324219]",woman,0.38
./aesop/data/images/1145/panel_0.jpg,1145_0,"[0.0, 0.7894761562347412, 325.99072265625, 235.5907745361328]",sky,0.82
./aesop/data/images/1145/panel_0.jpg,1145_0,"[262.7960510253906, 223.26129150390625, 343.0802001953125, 370.0697326660156]",pants,0.77
./aesop/data/images/1145/panel_0.jpg,1145_0,"[500.983154296875, 85.7774887084961, 546.46142578125, 113.24869537353516]",hair,0.7
./aesop/data/images/1145/panel_0.jpg,1145_0,"[349.60546875, 1.8597781658172607, 700.0, 202.04888916015625]",sky,0.67
./aesop/data/images/1145/panel_0.jpg,1145_0,"[497.1383972167969, 82.26016998291016, 548.2510986328125, 138.7386016845703]",head,0.63
./aesop/data/images/1145/panel_0.jpg,1145_0,"[267.5548095703125, 104.16116333007812, 320.5970458984375, 156.2073516845703]",head,0.54
./aesop/data/images/1145/panel_0.jpg,1145_0,"[256.0725402832031, 152.39569091796875, 348.7364196777344, 374.93597412109375]",girl,0.52
./aesop/data/images/1145/panel_0.jpg,1145_0,"[78.15557098388672, 1.0526082515716553, 586.2344360351562, 205.58462524414062]",sky,0.52
./aesop/data/images/1145/panel_0.jpg,1145_0,"[28.51837158203125, 38.62378692626953, 210.5554962158203, 353.0851745605469]",kite,0.49
./aesop/data/images/1145/panel_0.jpg,1145_0,"[299.6818542480469, 222.86448669433594, 345.81494140625, 255.7180938720703]",glove,0.48
./aesop/data/images/1145/panel_1.jpg,1145_1,"[0.0, 0.7212321162223816, 326.6859130859375, 235.9897003173828]",sky,0.85
./aesop/data/images/1145/panel_1.jpg,1145_1,"[248.95806884765625, 234.2598419189453, 335.72637939453125, 371.94635009765625]",pants,0.75
./aesop/data/images/1145/panel_1.jpg,1145_1,"[551.3350830078125, 88.67330169677734, 605.1925659179688, 148.6505584716797]",head,0.7
./aesop/data/images/1145/panel_1.jpg,1145_1,"[519.192626953125, 239.95712280273438, 603.8719482421875, 385.6753234863281]",pants,0.69
./aesop/data/images/1145/panel_1.jpg,1145_1,"[80.74803924560547, 1.940517544746399, 592.5101928710938, 206.03199768066406]",sky,0.65
./aesop/data/images/1145/panel_1.jpg,1145_1,"[276.0647888183594, 107.9991683959961, 328.1766357421875, 157.31202697753906]",head,0.61
./aesop/data/images/1145/panel_1.jpg,1145_1,"[29.70172119140625, 96.8516616821289, 210.9373016357422, 393.3057556152344]",kite,0.55
./aesop/data/images/1145/panel_1.jpg,1145_1,"[344.7391662597656, 270.7943420410156, 407.1195983886719, 358.22894287109375]",girl,0.55
./aesop/data/images/1145/panel_1.jpg,1145_1,"[252.08692932128906, 121.35508728027344, 349.64031982421875, 374.4617004394531]",girl,0.54
./aesop/data/images/1145/panel_1.jpg,1145_1,"[555.35693359375, 96.46907043457031, 600.7664184570312, 128.2598114013672]",hair,0.51
./aesop/data/images/1145/panel_2.jpg,1145_2,"[0.0, 0.7832444906234741, 327.13519287109375, 235.5101776123047]",sky,0.83
./aesop/data/images/1145/panel_2.jpg,1145_2,"[520.5800170898438, 92.416015625, 569.2589111328125, 147.2044219970703]",head,0.69
./aesop/data/images/1145/panel_2.jpg,1145_2,"[272.9400329589844, 106.78246307373047, 325.6889343261719, 156.9923858642578]",head,0.64
./aesop/data/images/1145/panel_2.jpg,1145_2,"[367.7013244628906, 1.4040409326553345, 700.0, 194.1802978515625]",sky,0.58
./aesop/data/images/1145/panel_2.jpg,1145_2,"[29.482608795166016, 100.03074645996094, 209.10491943359375, 393.9833984375]",kite,0.58
./aesop/data/images/1145/panel_2.jpg,1145_2,"[307.3221130371094, 292.4863586425781, 321.5525207519531, 374.7051086425781]",leg,0.45
./aesop/data/images/1145/panel_2.jpg,1145_2,"[0.0, 1.0986809730529785, 469.1449890136719, 137.19418334960938]",sky,0.44
./aesop/data/images/1145/panel_2.jpg,1145_2,"[83.6153793334961, 15.931554794311523, 581.5414428710938, 208.42198181152344]",sky,0.43
./aesop/data/images/1145/panel_2.jpg,1145_2,"[236.6048583984375, 201.75958251953125, 333.0859375, 399.10089111328125]",man,0.43
./aesop/data/images/1145/panel_2.jpg,1145_2,"[522.3709106445312, 97.8535385131836, 566.8718872070312, 127.33675384521484]",hair,0.43
./aesop/data/images/6444/panel_0.jpg,6444_0,"[453.98675537109375, 0.0, 700.0, 280.3664245605469]",wall,0.58
./aesop/data/images/6444/panel_0.jpg,6444_0,"[55.47690200805664, 256.864990234375, 93.97248077392578, 292.4520263671875]",light,0.57
./aesop/data/images/6444/panel_0.jpg,6444_0,"[415.44793701171875, 85.63208770751953, 544.4369506835938, 263.1886901855469]",girl,0.52
./aesop/data/images/6444/panel_0.jpg,6444_0,"[223.52220153808594, 80.44511413574219, 279.2771911621094, 139.23023986816406]",head,0.48
./aesop/data/images/6444/panel_0.jpg,6444_0,"[103.75033569335938, 48.8474006652832, 561.9324340820312, 328.4966125488281]",building,0.47
./aesop/data/images/6444/panel_0.jpg,6444_0,"[202.16029357910156, 154.37710571289062, 333.0635681152344, 343.7125549316406]",woman,0.46
./aesop/data/images/6444/panel_0.jpg,6444_0,"[87.12442016601562, 176.3882598876953, 266.26470947265625, 297.5602722167969]",cabinet,0.42
./aesop/data/images/6444/panel_0.jpg,6444_0,"[0.0, 0.26386091113090515, 326.5740051269531, 176.83546447753906]",sky,0.42
./aesop/data/images/6444/panel_0.jpg,6444_0,"[0.0, 230.563720703125, 379.1590881347656, 396.54718017578125]",floor,0.41
./aesop/data/images/6444/panel_0.jpg,6444_0,"[221.0766143798828, 140.35757446289062, 291.5636901855469, 214.75094604492188]",shirt,0.41
./aesop/data/images/6444/panel_1.jpg,6444_1,"[454.0642395019531, 0.0, 700.0, 280.5002136230469]",wall,0.59
./aesop/data/images/6444/panel_1.jpg,6444_1,"[55.4786262512207, 256.8659362792969, 93.97042083740234, 292.4509582519531]",light,0.57
./aesop/data/images/6444/panel_1.jpg,6444_1,"[406.7027893066406, 108.57731628417969, 547.8229370117188, 292.32647705078125]",girl,0.54
./aesop/data/images/6444/panel_1.jpg,6444_1,"[224.19029235839844, 80.70284271240234, 279.05780029296875, 138.8251953125]",head,0.54
./aesop/data/images/6444/panel_1.jpg,6444_1,"[436.54974365234375, 88.95072174072266, 518.5438232421875, 267.00439453125]",girl,0.53
./aesop/data/images/6444/panel_1.jpg,6444_1,"[502.0035095214844, 164.2028045654297, 593.0226440429688, 303.8219909667969]",cabinet,0.49
./aesop/data/images/6444/panel_1.jpg,6444_1,"[203.69139099121094, 156.0200653076172, 331.715576171875, 341.6918029785156]",woman,0.48
./aesop/data/images/6444/panel_1.jpg,6444_1,"[227.91983032226562, 192.88673400878906, 312.9251403808594, 355.681884765625]",pants,0.47
./aesop/data/images/6444/panel_1.jpg,6444_1,"[95.42291259765625, 85.35118103027344, 528.763671875, 356.7779235839844]",building,0.44
./aesop/data/images/6444/panel_1.jpg,6444_1,"[87.14485168457031, 176.46029663085938, 266.10736083984375, 297.584716796875]",cabinet,0.43
